,USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END,airport
19013,723235,13896,NORTH WEST ALABAMA REGIONAL AIRPORT,US,AL,KMSL,34.744,-87.6,164.6,19730101,20181019,True
19025,723270,13897,NASHVILLE INTERNATIONAL AIRPORT,US,TN,KBNA,36.119,-86.689,182.9,19510101,20181019,True
19029,723274,372,UPPER CUMBERLAND REGIONAL AIRPORT,US,TN,KSRB,36.056,-85.531,312.1,20120604,20181020,True
19048,723320,93862,TUPELO REGIONAL AIRPORT,US,MS,KTUP,34.262,-88.771,110.0,19910301,20181019,True
19049,723340,13893,MEMPHIS INTERNATIONAL AIRPORT,US,TN,KMEM,35.056,-89.98700000000001,77.4,19461001,20181019,True
19066,723408,13814,ARKANSAS INTERNATIONAL AIRPORT,US,AR,KBYH,35.967,-89.95,77.4,19420901,20181018,True
19077,723418,13977,TEXARKANA REGIONAL AIRPORT-WEBB FIELD,US,AR,KTXK,33.454,-94.007,110.0,19460729,20181019,True
19091,723439,53918,OZARK REGIONAL AIRPORT,US,AR,KBPK,36.369,-92.47,282.9,20060101,20181019,True
19093,723440,13964,FORT SMITH REGIONAL AIRPORT,US,AR,KFSM,35.333,-94.363,136.9,19470101,20181019,True
19117,723495,13987,JOPLIN REGIONAL AIRPORT,US,MO,KJLN,37.152,-94.495,296.3,19730101,20181019,True
19133,723536,53986,ENID WOODRING REGIONAL AIRPORT,US,OK,KWDG,36.383,-97.8,355.7,20060101,20181020,True
19150,723560,13968,TULSA INTERNATIONAL AIRPORT,US,OK,KTUL,36.199,-95.887,198.1,19470101,20181020,True
19195,723663,3012,TAOS REGIONAL AIRPORT,US,NM,KSKX,36.45,-105.667,2161.3,20060101,20181019,True
19210,723740,23194,WINSLOW-LINDBERGH REGIONAL AIRPORT,US,AZ,KINW,35.028,-110.721,1489.3,19730101,20181019,True
19227,723759,53990,MC CURTAIN COUNTY REGIONAL AIRPORT,US,OK,K4O4,33.909,-94.859,143.9,20060101,20181019,True
19241,723788,53135,LAUGHLIN/BULLHEAD INTERNATIONAL AIRPORT,US,AZ,KIFP,35.157,-114.559,211.8,20060101,20181019,True
19260,723860,23169,MCCARRAN INTERNATIONAL AIRPORT,US,NV,KLAS,36.071999999999996,-115.163,664.5,19730101,20181019,True
19264,723890,93193,FRESNO YOSEMITE INTERNATIONAL AIRPORT,US,CA,KFAT,36.78,-119.719,101.5,19411204,20181019,True
19299,723990,14711,HARRISBURG INTERNATIONAL AIRPORT,US,PA,KMDT,40.196,-76.77199999999999,95.1,20090101,20181019,True
19306,724010,13740,RICHMOND INTERNATIONAL AIRPORT,US,VA,KRIC,37.512,-77.32300000000001,50.0,19420924,20181019,True
19313,724017,3707,FARMVILLE REGIONAL AIRPORT,US,VA,KFVX,37.358000000000004,-78.438,127.1,20060101,20181018,True
19363,724070,93730,ATLANTIC CITY INTERNATIONAL AIRPORT,US,NJ,KACY,39.452,-74.567,18.3,19470101,20181019,True
19370,724080,13739,PHILADELPHIA INTERNATIONAL AIRPORT,US,PA,KPHL,39.873000000000005,-75.227,3.1,19730101,20181019,True
19399,724106,13728,DANVILLE REGIONAL AIRPORT,US,VA,KDAN,36.573,-79.335,174.0,19730101,20181019,True
19433,724200,14891,MANSFIELD LAHM REGIONAL AIRPORT,US,OH,KMFD,40.82,-82.51799999999999,393.2,20090101,20181019,True
19454,724273,3804,MID-OHIO VALLEY REGIONAL AIRPORT,US,WV,KPKB,39.34,-81.444,253.3,19900208,20181020,True
19459,724280,14821,PORT COLUMBUS INTERNATIONAL AIRPORT,US,OH,KCMH,39.991,-82.87700000000001,248.7,19450401,20181019,True
19470,724290,93815,J.M.COX DAYTON INTERNATIONAL AIRPORT,US,OH,KDAY,39.906,-84.219,305.7,19730101,20181019,True
19485,724320,93817,EVANSVILLE REGIONAL AIRPORT,US,IN,KEVV,38.044000000000004,-87.521,121.9,19730101,20181019,True
19503,724350,3816,BARKLEY REGIONAL AIRPORT,US,KY,KPAH,37.056,-88.774,125.9,19890101,20181019,True
19522,724380,93819,INDIANAPOLIS INTERNATIONAL AIRPORT,US,IN,KIND,39.725,-86.28200000000001,241.1,19421006,20181019,True
19536,724395,3958,ST LOUIS REGIONAL AIRPORT,US,IL,KALN,38.883,-90.05,165.5,20060101,20181019,True
19539,724397,54831,CENTRAL ILLINOIS REGIONAL AIRPORT,US,IL,KBMI,40.483000000000004,-88.95,263.7,20060101,20181019,True
19542,724400,13995,SPRINGFIELD-BRANSON REGIONAL AIRPORT,US,MO,KSGF,37.24,-93.39,384.7,19730101,20181019,True
